Year,Cumulative dh (m)
2010.8556293683462,-7.19285623726661
2010.964170719997,-7.13619845806582
2011.0727120716476,-7.07558781054867
2011.1812534232984,-7.00904786055704
2011.2897947749489,-6.93591979670483
2011.3736676375881,-7.00838904917097
2011.4200443969298,-7.16057447934988
2011.4394502749522,-7.33812414789193
2011.4504923605098,-7.5332734920329
2011.469874744733,-7.74214023039068
2011.4857330590976,-7.94945405619561
2011.5463470606687,-8.1375917648707
2011.6548884123195,-8.17119114555954
2011.76342976397,-8.10465119556791
2011.8719711156207,-8.03481718864599
2011.9805124672714,-7.97684178667307
2012.0890538189221,-7.91952519608621
2012.1975951705726,-7.8615497941133
2012.3061365222234,-7.82070348817784
2012.3900093848627,-7.96498318172407
2012.4259548974221,-8.15650906324173
2012.4456896886313,-8.37805792078108
2012.4590811540947,-8.57010143981637
2012.4724726195582,-8.77042715913349
2012.493617038711,-9.00310522330157
2012.53199024384,-9.22675338855125
2012.592290994757,-9.36891024540908
2012.7008323464077,-9.332675619176
2012.8093736980584,-9.27272378304492
2012.917915049709,-9.2134307582999
2013.0264564013596,-9.14820843108037
2013.1349977530103,-9.09220946326562
2013.243539104661,-9.03555168406482
2013.3520804563118,-9.00524636030626
2013.4310196211486,-9.10878954981469
2013.4606218079623,-9.27909229311013
2013.5160310294343,-9.49073967403048
2013.6283675332406,-9.50001371123419
2013.7369088848914,-9.42886208154016
2013.845450236542,-9.37352192511146
2013.9539915881928,-9.32015820284095
2014.0625329398433,-9.27206497165887
2014.171074291494,-9.21870124938834
2014.2796156431448,-9.16467871573177
2014.3881569947955,-9.202889776123
2014.4431324845925,-9.40919185587078
2014.4614576478582,-9.60485883752937
2014.4905312241933,-9.81476085092237
2014.5197222695235,-9.99412225077608
2014.5830380579864,-10.1517428748899
2014.6940462585383,-10.1278609621454
2014.802587610189,-10.0520976527489
2014.9111289618395,-9.99214581661791
2015.0196703134902,-9.93021754632866
2015.128211665141,-9.87092452158363
2015.2367530167917,-9.8116314968386
2015.3452943684422,-9.78923190971271
2015.422588967345,-9.92889992355655
2015.4439683244884,-10.1307785554265
2015.4604139838293,-10.3371433791158
2015.4721608833586,-10.5293594439903
2015.4933053025113,-10.7496142077356
2015.552509676139,-10.9566456858036
2015.6610510277897,-10.984315764018
2015.7695923794404,-10.9237051165008
2015.878133731091,-10.8617768462116
2015.9866750827416,-10.7965545189921
2016.0952164343923,-10.7385791170191
2016.203757786043,-10.6878506402928
2016.3176123507117,-10.6591670060999
2016.3846600387942,-10.8581167829557
2016.425069373175,-11.0604555370636
2016.4389307146196,-11.2538794228125
2016.4570209398946,-11.4386760166012
2016.468767839424,-11.6257157062995
2016.4899122585766,-11.8438999199743
2016.5392492365997,-12.0120615262651
2016.6477905882502,-11.9909795619113
2016.756331939901,-11.9185103094452
2016.8648732915517,-11.8480174911372
2016.9734146432024,-11.7953125802527
2017.081955994853,-11.7412900465961
2017.1904973465037,-11.6918791926419
2017.2990386981544,-11.6352214134411
2017.4026463520026,-11.702222531403
2017.4421159344213,-11.90127141151
2017.456917027828,-12.068192256357
2017.4766518190372,-12.2348715370292
2017.4963866102464,-12.4425477090964
2017.5496705465114,-12.6428734284136
2017.6542649399203,-12.6728493464791
2017.762806291571,-12.6135563217341
2017.8713476432215,-12.5562397311472
2017.9798889948722,-12.5088053113512
2018.088430346523,-12.459394457397
2018.1969716981737,-12.4073483578986
2018.3055130498242,-12.3394907851348
2018.4178495536305,-12.3265172686094
2018.478192472905,-12.5269226244677
2018.5176620553234,-12.7080957556331
2018.5780049745977,-12.9118458462206
2018.63903102126,-12.9581146766413
2018.7298110608224,-12.9040921429847
2018.8383524124731,-12.8408462499233
2018.9468937641236,-12.7881413390389
2019.0554351157743,-12.7341188053823
2019.163976467425,-12.6781198375676
2019.2725178190758,-12.6214620583668
2019.3514569839126,-12.6658220250278
2019.3859928685288,-12.8358228131047
2019.4254624509472,-13.0076353324931
2019.4369744124858,-13.1851850010352
2019.4501309399586,-13.3552461801558
2019.4599983355633,-13.5132291505319
2019.4797331267725,-13.7344415436848
2019.4994679179817,-14.0089188374004
2019.530166482085,-14.2384048035431
2019.5981418740278,-14.3765355908195
2019.7066832256785,-14.3370069076562
2019.815224577329,-14.2790315056833
2019.9237659289797,-14.2256677834127
2020.0323072806304,-14.1729628725283
2020.1408486322812,-14.1176227160996
2020.2493899839317,-14.0491063319498
2020.348063939978,-14.0532056027963
2020.4023346158033,-14.2311578782965
2020.4382801283627,-14.4188877513517
2020.458014919572,-14.6456129840672
2020.4763400828376,-14.8785498669941
2020.4993640059151,-15.1096462609694
2020.54541185207,-15.3173914513724
2020.644085808116,-15.4009872961364
2020.7526271597667,-15.3515764421822
2020.8611685114174,-15.2955774743674
2020.935173978452,-15.2644486363763
